Unnamed: 0,movie_ids,sources,ratings,ratings_binary,review_texts
50,mass_2021,audience,4.5,p,"rating : a '' mass is undoubtedly one of the most _UNKNOWN_ challenging viewings i 've _UNKNOWN_ had to _UNKNOWN_ . fran kranz 's feature _UNKNOWN_ debut tells an unbelievably heavy _UNKNOWN_ through four actors who dive _UNKNOWN_ into their _UNKNOWN_ , all delivering _UNKNOWN_ _UNKNOWN_ . _UNKNOWN_ is an _UNKNOWN_ standout : jason isaacs , ann dowd , _UNKNOWN_ plimpton , and reed birney deserve a massive campaign to receive _UNKNOWN_ acting _UNKNOWN_ there is . the _UNKNOWN_ drains _UNKNOWN_ single ounce of emotion within the viewers , transforming a tiny _UNKNOWN_ room with impactful mise-en-scène that tells its own _UNKNOWN_ into an extremely tense , _UNKNOWN_ , _UNKNOWN_ unbreathable environment . dozens of meaningful matters and challenging _UNKNOWN_ are addressed in the span of _UNKNOWN_ less than two hours , creating a _UNKNOWN_ devastating film that left me sobbing . it 's utterly impossible for someone not to be affected by this movie , _UNKNOWN_ if it 's in a negative _UNKNOWN_ . it 's one of those _UNKNOWN_ that i 'll _UNKNOWN_ to _UNKNOWN_ and support _UNKNOWN_ its _UNKNOWN_ release , but i ca n't deny this might have been my one and only watch of such a brutally demanding , authentic _UNKNOWN_ . ''"
51,mass_2021,audience,4.5,p,"somewhere between in the bedroom and we need to talk about kevin , this is the _UNKNOWN_ chamber _UNKNOWN_ written for the _UNKNOWN_ _UNKNOWN_ in a _UNKNOWN_ _UNKNOWN_ . fran kranz _UNKNOWN_ one of the very _UNKNOWN_ _UNKNOWN_ of the _UNKNOWN_ and the _UNKNOWN_ of _UNKNOWN_ is _UNKNOWN_ short of extraordinary . _UNKNOWN_ , magnetic , _UNKNOWN_ ."
52,mass_2021,audience,5.0,p,"on the eve of _UNKNOWN_ _UNKNOWN_ school shooting , mass is the _UNKNOWN_ movie to dispense with the theatrics of extremist politics , and _UNKNOWN_ dive in to the after effects of trauma of what these _UNKNOWN_ are _UNKNOWN_ for the people who are left .. raw , unflinching , and _UNKNOWN_ . mass will reach the _UNKNOWN_ of you that knows this has gone on for far too _UNKNOWN_ ."
53,mass_2021,audience,4.5,p,"fran kranz , previously known _UNKNOWN_ as an actor , tells an _UNKNOWN_ _UNKNOWN_ in his _UNKNOWN_ debut mass , which could seem _UNKNOWN_ an adapted _UNKNOWN_ to _UNKNOWN_ . six _UNKNOWN_ after a devastating _UNKNOWN_ , the parents of two victims gather in the room of a church to come to terms with the _UNKNOWN_ of that _UNKNOWN_ _UNKNOWN_ . this results in a _UNKNOWN_ _UNKNOWN_ chaos between four protagonists , peppered with grief , pain , anger and pure fear . i have often heard that mass is a quiet film . yes , it 's not a sci-fi blockbuster with countless scenarios , dispenses _UNKNOWN_ with any effects and has only four central _UNKNOWN_ . in that respect , it is _UNKNOWN_ a quiet film . but if you define calm by _UNKNOWN_ connection , then mass is probably the spectacle of the _UNKNOWN_ . for what is rehashed and thematised here rips your _UNKNOWN_ out . rarely have i shed so _UNKNOWN_ tears at a film . rarely have all the protagonists grown so close to my _UNKNOWN_ _UNKNOWN_ their _UNKNOWN_ behaviours . _UNKNOWN_ have _UNKNOWN_ and monologues been so close to my _UNKNOWN_ . this is largely due to franz 's borderline _UNKNOWN_ _UNKNOWN_ . but in this film it is the actors who make the difference . i have rarely come across such a _UNKNOWN_ _UNKNOWN_ from an ensemble . all four get _UNKNOWN_ to shine and do so with _UNKNOWN_ bravura . i 'll _UNKNOWN_ with jason isaacs , probably the most recognisable name among the four . his _UNKNOWN_ jay still ca n't believe the incident and death of his son . he tries to understand the psyche of the perpetrator , who turns out to be the son of the other parents . _UNKNOWN_ he tries not to ask too _UNKNOWN_ of them at _UNKNOWN_ , he becomes more and more impatient and angry as _UNKNOWN_ goes on . this _UNKNOWN_ to a _UNKNOWN_ where jay snaps and takes the conversation in a completely _UNKNOWN_ direction . from this point on he is an _UNKNOWN_ wreck . you buy both _UNKNOWN_ states from isaacs through his facial expressions alone . _UNKNOWN_ supporting actor 2022 : jason isaacs , mass . let 's move on to the two mothers , gale ( _UNKNOWN_ plimpton ) and linda ( ann dowd ) . the former is unexpectedly restrained until the last act , before letting her _UNKNOWN_ run free at the end . and in a _UNKNOWN_ that is simply unfathomable . plimpton 's _UNKNOWN_ with isaacs is insanely authentic and if you said they 'd been through this thing in _UNKNOWN_ life , i 'd believe it . ann dowd is _UNKNOWN_ more eloquent in her role and _UNKNOWN_ tries to be the _UNKNOWN_ constant through _UNKNOWN_ . until a _UNKNOWN_ monologue that must win dowd the oscar for _UNKNOWN_ supporting actress . _UNKNOWN_ though she and plimpton give each other _UNKNOWN_ here . if only there were reed birney as the _UNKNOWN_ and proud businessman _UNKNOWN_ . he talks a lot but _UNKNOWN_ _UNKNOWN_ gets too specific . he is _UNKNOWN_ stiff . _UNKNOWN_ he visibly wants to open up more , he ca n't . this is frustrating to watch , but also could n't be _UNKNOWN_ portrayed . birney also deserves all the praise in the _UNKNOWN_ for his less _UNKNOWN_ but efficient _UNKNOWN_ . so yes , mass is an acting _UNKNOWN_ . one that i have rarely seen in this form and one that will stay with me for a very _UNKNOWN_ _UNKNOWN_ . it tells a tragic _UNKNOWN_ in such a _UNKNOWN_ manner that you _UNKNOWN_ believe you are _UNKNOWN_ standing in the room listening to the four people on the spot . _UNKNOWN_ has rarely been so tangible and distant for someone who , thank god , has _UNKNOWN_ had to go through _UNKNOWN_ _UNKNOWN_ this . but at the same _UNKNOWN_ , it 's a film i probably wo n't be able to watch again because of the sheer harshness of its subject matter . moreover , certain _UNKNOWN_ cuts are unnecessary . but no one cares about that ."
54,mass_2021,audience,4.0,p,very intense and heavy film . acting was stellar across the board !
55,mass_2021,audience,5.0,p,_UNKNOWN_ _UNKNOWN_ by _UNKNOWN_ ! such an _UNKNOWN_ movie . i wasn ’ t interested at _UNKNOWN_ in seeing it but then read an _UNKNOWN_ in our local paper and decided to give it a try . both my husband thought it was _UNKNOWN_ ! _UNKNOWN_ at _UNKNOWN_ but such a _UNKNOWN_ _UNKNOWN_ of both sides .
56,mass_2021,audience,3.5,p,thought provoking if a bit _UNKNOWN_ at _UNKNOWN_
57,mass_2021,audience,5.0,p,felt drawn in from the _UNKNOWN_ the movie _UNKNOWN_ you are _UNKNOWN_ invested in the _UNKNOWN_ of the _UNKNOWN_ _UNKNOWN_ the _UNKNOWN_ movie and felt that the _UNKNOWN_ was _UNKNOWN_ for the fact that they are in 1 room the _UNKNOWN_ _UNKNOWN_ . most _UNKNOWN_ my _UNKNOWN_ movie for the _UNKNOWN_ so far & for a _UNKNOWN_ _UNKNOWN_
58,mass_2021,audience,4.5,p,the _UNKNOWN_ _UNKNOWN_ goes to the places you might think _UNKNOWN_ how they introduce a stereotypical gun rights debate only to promptly dismiss it and then focuses _UNKNOWN_ on trickier _UNKNOWN_ issues . the _UNKNOWN_ here are _UNKNOWN_ sublime .
59,mass_2021,audience,5.0,p,wow- most _UNKNOWN_ film i 've seen in _UNKNOWN_ . where has _UNKNOWN_ plimpton been… .. ? can someone please say oscar nod ? ? _UNKNOWN_ and finely acted . anne dowd and jason isaacs give _UNKNOWN_ _UNKNOWN_ . i _UNKNOWN_ _UNKNOWN_ people see this - it 's worth it .
60,im_your_man_2021,critics,fresh,p,"a _UNKNOWN_ bizarre sci-fi rom-com with a polished aesthetic , some architecturally _UNKNOWN_ settings , _UNKNOWN_ _UNKNOWN_ , and _UNKNOWN_ undertones ."
61,im_your_man_2021,critics,fresh,p,this is the epitome of the 21st ( 22nd ? ) century _UNKNOWN_ _UNKNOWN_ .
62,im_your_man_2021,critics,fresh,p,maren eggert 's _UNKNOWN_ as alma is _UNKNOWN_ and on the mark at all _UNKNOWN_ ; but it is dan _UNKNOWN_ ' portrayal of tom that is the most eye-catching .
63,im_your_man_2021,critics,fresh,p,"`` i 'm your man '' is an unexpected _UNKNOWN_ , succeeding as a _UNKNOWN_ _UNKNOWN_ - and as _UNKNOWN_ more ."
64,im_your_man_2021,critics,fresh,p,"i 'm your man is an _UNKNOWN_ but essentially _UNKNOWN_ affair ; it poses questions about _UNKNOWN_ , freedom of will , and what it means to be _UNKNOWN_ but does n't _UNKNOWN_ attempt to answer them ."
65,im_your_man_2021,critics,fresh,p,"a _UNKNOWN_ gem of a scifi rom-com that 's _UNKNOWN_ and _UNKNOWN_ _UNKNOWN_ , featuring a _UNKNOWN_ _UNKNOWN_ from the _UNKNOWN_ dan _UNKNOWN_ . _UNKNOWN_ my _UNKNOWN_ film about _UNKNOWN_ + ai _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ spike jonze 's her ."
66,im_your_man_2021,critics,fresh,p,a spunky sci-fi dramedy that asks some _UNKNOWN_ questions about what _UNKNOWN_ want in _UNKNOWN_ and if ai beings should have rights .
67,im_your_man_2021,critics,fresh,p,"schrader does n't overwhelm with the science-fiction aspects of the _UNKNOWN_ ( though the _UNKNOWN_ where a _UNKNOWN_ is populated with holograms is _UNKNOWN_ done ) , _UNKNOWN_ letting the _UNKNOWN_ elements _UNKNOWN_ _UNKNOWN_ and into unexpected directions ."
68,im_your_man_2021,critics,fresh,p,"some more _UNKNOWN_ elements could have _UNKNOWN_ i 'm your man a more _UNKNOWN_ and _UNKNOWN_ _UNKNOWN_ . as is , the movie wo n't become a genre _UNKNOWN_ , but sci-fi and rom-com fans will still find it an _UNKNOWN_ watch ."
69,im_your_man_2021,critics,fresh,p,"ultimately , this film leaves you thinking as _UNKNOWN_ as it leaves you smiling ."
70,im_your_man_2021,critics,fresh,p,the _UNKNOWN_ tone provides just the right setting for an understated setting where holograms and sentient robots seem _UNKNOWN_ natural .
71,im_your_man_2021,critics,fresh,p,i 'm your man is a very _UNKNOWN_ genre-defying cross between her and ex machina and any kate hepburn _UNKNOWN_ _UNKNOWN_ - but from a decidedly feminist point of view .
72,im_your_man_2021,critics,fresh,p,"here 's a rom-com with _UNKNOWN_ and depth . maria schrader 's i 'm your man presents a _UNKNOWN_ examination of the nature of _UNKNOWN_ and what qualifies as having a 'soul ' , which is to say , what it means to exist with meaning ."
73,im_your_man_2021,critics,fresh,p,"a thoughtful film that both tugs at our _UNKNOWN_ and _UNKNOWN_ us think , and dan _UNKNOWN_ and maren eggert turn in _UNKNOWN_ , affecting _UNKNOWN_ that help propel the film ."
74,im_your_man_2021,critics,fresh,p,robot tom is _UNKNOWN_ a puppy who is hit by a _UNKNOWN_ ... still loving but with a _UNKNOWN_ hurt behind his eyes . a _UNKNOWN_ _UNKNOWN_ that _UNKNOWN_ has _UNKNOWN_ to say about _UNKNOWN_ .
75,im_your_man_2021,critics,fresh,p,utterly _UNKNOWN_ is the only _UNKNOWN_ to describe i 'm your man .
76,im_your_man_2021,critics,fresh,p,"it 's a rich _UNKNOWN_ _UNKNOWN_ of _UNKNOWN_ , wonder , lapses and questions about the ethics of robot _UNKNOWN_ and _UNKNOWN_ , _UNKNOWN_ questions dealt with in _UNKNOWN_ _UNKNOWN_ ."
77,im_your_man_2021,critics,fresh,p,"a _UNKNOWN_ exploration of _UNKNOWN_ and _UNKNOWN_ , i 'm your man is a rom-com that _UNKNOWN_ _UNKNOWN_ _UNKNOWN_ goes where you expect ."
78,im_your_man_2021,critics,rotten,n,there was not _UNKNOWN_ rom or com or sci-fi in this rom-com sci-fi film . this was a cool concept where they did n't _UNKNOWN_ add anything to the genre .
79,im_your_man_2021,critics,fresh,p,"honestly , if jane austen were alive and writing on a macbook , she might come up with _UNKNOWN_ _UNKNOWN_ this ."
80,im_your_man_2021,audience,4.5,p,"presents both sides of the argument _UNKNOWN_ : on one hand , fashioning your own dream _UNKNOWN_ is living in a make-believe _UNKNOWN_ , but on the other hand , finding companionship in any reasonable _UNKNOWN_ is life-fulfilling and life-affirming ."
81,im_your_man_2021,audience,5.0,p,"i wondered whether the premise would wear thin , but i need n't have worried . the film keeps you guessing right up to the unpredictable _UNKNOWN_ _UNKNOWN_ . very _UNKNOWN_ _UNKNOWN_ !"
82,im_your_man_2021,audience,4.5,p,"_UNKNOWN_ _UNKNOWN_ and script , one of the _UNKNOWN_ _UNKNOWN_ of 2021"
83,im_your_man_2021,audience,5.0,p,"i was ready to not _UNKNOWN_ it but i did _UNKNOWN_ it . i gave it a chance because it seems _UNKNOWN_ it might be _UNKNOWN_ and creative in its exploration , and it was ."
84,im_your_man_2021,audience,5.0,p,_UNKNOWN_ captivating film ! while i typically do n't watch subtitles _UNKNOWN_ -- -this is worth _UNKNOWN_ . maren eggert and dan _UNKNOWN_ are _UNKNOWN_ in their roles . the film had some _UNKNOWN_ _UNKNOWN_ but also _UNKNOWN_ _UNKNOWN_ . it is a must watch if you need _UNKNOWN_ _UNKNOWN_ . ( buy or rent on apple tv ) . i _UNKNOWN_ see this film being nominated for movie _UNKNOWN_ !
85,im_your_man_2021,audience,5.0,p,"_UNKNOWN_ movie with layered _UNKNOWN_ . somehow a _UNKNOWN_ , but _UNKNOWN_ of _UNKNOWN_ thought and stunning revelations about _UNKNOWN_ and _UNKNOWN_ . i suggest purchasing it , as you will want to watch it again . and again ."
86,im_your_man_2021,audience,4.0,p,"this is a _UNKNOWN_ _UNKNOWN_ , off-kilter _UNKNOWN_ with surprising insight into _UNKNOWN_ _UNKNOWN_ . dan _UNKNOWN_ is a _UNKNOWN_ _UNKNOWN_ , speaking german _UNKNOWN_ , as a robot designed and submitted for approval and evaluation as a _UNKNOWN_ for a single professional woman . i _UNKNOWN_ this is _UNKNOWN_ 's submission in the oscar race for _UNKNOWN_ foreign _UNKNOWN_ film . it 's _UNKNOWN_ _UNKNOWN_ ."
87,im_your_man_2021,audience,4.0,p,"i ’ m your man is a very _UNKNOWN_ sci-fi _UNKNOWN_ . dan _UNKNOWN_ and maren eggert were both _UNKNOWN_ . i _UNKNOWN_ how their _UNKNOWN_ developed _UNKNOWN_ the film . the film tackles its themes of loneliness and _UNKNOWN_ very _UNKNOWN_ . it kept me _UNKNOWN_ _UNKNOWN_ . _UNKNOWN_ , i _UNKNOWN_ _UNKNOWN_ this . it ’ s _UNKNOWN_ , _UNKNOWN_ , and _UNKNOWN_ _UNKNOWN_ . it takes a _UNKNOWN_ concept and develops it _UNKNOWN_ . _UNKNOWN_ check it out ."
88,im_your_man_2021,audience,4.0,p,"_UNKNOWN_ e o comoara , restul e bun"
89,im_your_man_2021,audience,5.0,p,_UNKNOWN_ . i do n't _UNKNOWN_ know where to _UNKNOWN_ as i 'm caught up in my _UNKNOWN_ . _UNKNOWN_ film . existential for _UNKNOWN_ . a+
90,ratatouille,critics,fresh,p,"_UNKNOWN_ the unexplained _UNKNOWN_ barriers or farfetched plot , this _UNKNOWN_ delicious foray into the unimaginable _UNKNOWN_ becomes preachy or immature ."
91,ratatouille,critics,fresh,p,"this is a film about a rat who becomes a chef in paris . but it 's so _UNKNOWN_ more than that . it 's about what a _UNKNOWN_ _UNKNOWN_ can be , where a _UNKNOWN_ _UNKNOWN_ can come from , it 's about food and how to savour it ."
92,ratatouille,critics,fresh,p,"a _UNKNOWN_ letter to paris , a valentine to the fine _UNKNOWN_ of cooking , and a gift to film fans of all _UNKNOWN_ ."
93,ratatouille,critics,fresh,p,a delectable treat that represents the finest qualities in _UNKNOWN_ and _UNKNOWN_ _UNKNOWN_ .
94,ratatouille,critics,fresh,p,has _UNKNOWN_ vocal _UNKNOWN_ _UNKNOWN_ and is about a _UNKNOWN_ figuring out where they _UNKNOWN_ and _UNKNOWN_ being accepted there . i _UNKNOWN_ it !
95,ratatouille,critics,fresh,p,"that is the ( ... ) _UNKNOWN_ _UNKNOWN_ of ratatouille . _UNKNOWN_ is not an _UNKNOWN_ , but anyone could be an _UNKNOWN_ . because , as living creatures , it is simply what we do ."
96,ratatouille,critics,rotten,n,"the studio 's latest effort offers _UNKNOWN_ and strikingly _UNKNOWN_ _UNKNOWN_ , but the flawed concept should have been scrapped ..."
97,ratatouille,critics,fresh,p,"i wo n't spoil the broth , but suffice to say ratatouille is a bursting with bright flavors , some spice , and _UNKNOWN_ _UNKNOWN_ that settles in your belly and satisfies body and soul ."
98,ratatouille,critics,fresh,p,"there is so _UNKNOWN_ to _UNKNOWN_ and celebrate here , ratatouille deserves more than a _UNKNOWN_ : it could ( and probably will ) inspire books about creativity and _UNKNOWN_ taste ."
99,ratatouille,critics,fresh,p,"ratatouille was written and directed by brad bird , the guy behind the _UNKNOWN_ , and while his _UNKNOWN_ movie is n't as brainy as that one , it has lots of _UNKNOWN_ touches to appeal to parents as _UNKNOWN_ as kids ."
100,ratatouille,critics,fresh,p,"ratatouille is a triumph that not only pays tribute to the spirit of discovery , but revels in the _UNKNOWN_ of _UNKNOWN_ a few of its own ."
101,ratatouille,critics,fresh,p,"and there 's remy himself , voiced by _UNKNOWN_ _UNKNOWN_ patton oswalt . yes , he 's a rat , and a pantless one at that , but he 's a _UNKNOWN_ rat ."
102,ratatouille,critics,fresh,p,the latest from _UNKNOWN_ and oscar winning _UNKNOWN_ brad bird is a fabulously _UNKNOWN_ parable about the pursuit of excellence and rising above the preconceptions of others .
103,ratatouille,critics,fresh,p,"it 's not just the _UNKNOWN_ animated film this _UNKNOWN_ , it 's the _UNKNOWN_ animated film to come out of the u.s. _UNKNOWN_ bird 's last effort , the _UNKNOWN_ ."
104,ratatouille,critics,fresh,p,"_UNKNOWN_ the snooty restaurant critic anton ego ( voiced by peter o'toole ) , we enter ratatouille thinking we 've tasted it all , and we leave hoping for seconds ."
105,ratatouille,critics,fresh,p,it 's a _UNKNOWN_ programme for all the _UNKNOWN_ .
106,ratatouille,critics,rotten,n,it 's not my favourite _UNKNOWN_ film .
107,ratatouille,critics,fresh,p,"no restaurant has _UNKNOWN_ benefited from placing rats in a recipe , but the digital wizards in _UNKNOWN_ 's kitchen have cooked up a winning peasant dish in ratatouille ."
108,ratatouille,critics,fresh,p,"ratatouille is a _UNKNOWN_ , wistful _UNKNOWN_ , and a sparkling return to form for the computer _UNKNOWN_ studio _UNKNOWN_ after last _UNKNOWN_ 's lacklustre cars ."
109,ratatouille,critics,fresh,p,"as in his previous _UNKNOWN_ , bird offers up a _UNKNOWN_ with substance ."
110,ratatouille,audience,4.5,p,88/90 goooooood very _UNKNOWN_
111,ratatouille,audience,5.0,p,i _UNKNOWN_ this movie so _UNKNOWN_ i raced a boat my _UNKNOWN_ was on in france so i would n't be split up with them but also so i could take a _UNKNOWN_ of the restaurant this movie was based on
112,ratatouille,audience,5.0,p,this film is the definition of a _UNKNOWN_
